org,max_slope,r2,intercept
Arthrobacter globiformis,0.02743014578131407,0.9426014308964497,-2.0999557488644185
Brachybacterium alimentarium,0.05930584527378868,0.9762772437135898,-3.3201359879711623
Brachybacterium paraconglomeratum,0.04533661523279,0.9176507243658854,-1.5174991008126328
Chromatocurvus halotolerans,0.10177832906421042,0.9293537776851476,-1.3286722615306774
Dermabacter hominis,0.03587945904600431,0.9046354403330815,-2.1126937287104277
Granulosicoccus antarcticus,0.203551637740266,0.9714278151227876,-1.2478891957302434
Halobacteriovorax marinus,0.030354521881541103,0.9363066817239379,-3.2801046679210604
Kytococcus sedentarius,0.33882223128282757,0.9667611155165307,-1.4765364987597955
Luteimonas tolerans,0.04059234842641309,0.9415144816841557,-2.063437445425702
Mobilicoccus massiliensis,0.06351167545055285,0.9738489133458027,-1.3472514629949066
Mycolicibacterium obuense,0.032677706500219256,0.9805526658240056,-2.267184878304009
Okibacterium fritillariae,0.03377340621502541,0.9452195528634989,-2.6399010051175824
Streptococcus pneumoniae,0.029070557610926393,0.9231330627500238,-2.1325819963860497
Virgibacillus salinus,0.03561839886194971,0.9002916613919781,-1.5974123843652317
Xanthomonas translucens,0.03940879191889639,0.9360513125816557,-0.9851496918378289
XC,0.049482200751695495,0.9695213820240957,-1.3539448955024234
